(0	0	0	-0.016529)
(0	0	10	0.008264)
(0	2	1	-0.016529)
(0	2	11	0.008264)
(0	4	2	-0.016529)
(0	4	12	0.008264)
(0	6	3	-0.016529)
(0	6	13	0.008264)
(0	8	4	-0.016529)
(0	8	14	0.008264)
(0	10	5	-0.016529)
(0	10	15	0.008264)
(0	12	6	-0.016529)
(0	12	16	0.008264)
(0	14	7	-0.016529)
(0	14	17	0.008264)
(0	16	8	-0.016529)
(0	16	18	0.008264)
(0	18	9	-0.016529)
(0	18	19	0.008264)
(0	21	0	0.008264)
(0	21	10	-0.016529)
(0	21	20	0.008264)
(2	24	1	0.008264)
(2	24	11	-0.016529)
(2	24	21	0.008264)
(4	27	2	0.008264)
(4	27	12	-0.016529)
(4	27	22	0.008264)
(6	30	3	0.008264)
(6	30	13	-0.016529)
(6	30	23	0.008264)
(8	33	4	0.008264)
(8	33	14	-0.016529)
(8	33	24	0.008264)
(10	36	5	0.008264)
(10	36	15	-0.016529)
(10	36	25	0.008264)
(12	39	6	0.008264)
(12	39	16	-0.016529)
(12	39	26	0.008264)
(14	42	7	0.008264)
(14	42	17	-0.016529)
(14	42	27	0.008264)
(16	45	8	0.008264)
(16	45	18	-0.016529)
(16	45	28	0.008264)
(18	48	9	0.008264)
(18	48	19	-0.016529)
(18	48	29	0.008264)
(0	51	10	0.008264)
(0	51	20	-0.016529)
(0	51	30	0.008264)
(5	54	11	0.008264)
(5	54	21	-0.016529)
(5	54	31	0.008264)
(10	57	12	0.008264)
(10	57	22	-0.016529)
(10	57	32	0.008264)
(15	60	13	0.008264)
(15	60	23	-0.016529)
(15	60	33	0.008264)
(20	63	14	0.008264)
(20	63	24	-0.016529)
(20	63	34	0.008264)
(25	66	15	0.008264)
(25	66	25	-0.016529)
(25	66	35	0.008264)
(30	69	16	0.008264)
(30	69	26	-0.016529)
(30	69	36	0.008264)
(35	72	17	0.008264)
(35	72	27	-0.016529)
(35	72	37	0.008264)
(40	75	18	0.008264)
(40	75	28	-0.016529)
(40	75	38	0.008264)
(45	78	19	0.008264)
(45	78	29	-0.016529)
(45	78	39	0.008264)
(0	81	20	0.008264)
(0	81	30	-0.016529)
(0	81	40	0.008264)
(8	84	21	0.008264)
(8	84	31	-0.016529)
(8	84	41	0.008264)
(16	87	22	0.008264)
(16	87	32	-0.016529)
(16	87	42	0.008264)
(24	90	23	0.008264)
(24	90	33	-0.016529)
(24	90	43	0.008264)
(32	93	24	0.008264)
(32	93	34	-0.016529)
(32	93	44	0.008264)
(40	96	25	0.008264)
(40	96	35	-0.016529)
(40	96	45	0.008264)
(48	99	26	0.008264)
(48	99	36	-0.016529)
(48	99	46	0.008264)
(56	102	27	0.008264)
(56	102	37	-0.016529)
(56	102	47	0.008264)
(64	105	28	0.008264)
(64	105	38	-0.016529)
(64	105	48	0.008264)
(72	108	29	0.008264)
(72	108	39	-0.016529)
(72	108	49	0.008264)
(0	111	30	0.008264)
(0	111	40	-0.016529)
(0	111	50	0.008264)
(11	114	31	0.008264)
(11	114	41	-0.016529)
(11	114	51	0.008264)
(22	117	32	0.008264)
(22	117	42	-0.016529)
(22	117	52	0.008264)
(33	120	33	0.008264)
(33	120	43	-0.016529)
(33	120	53	0.008264)
(44	123	34	0.008264)
(44	123	44	-0.016529)
(44	123	54	0.008264)
(55	126	35	0.008264)
(55	126	45	-0.016529)
(55	126	55	0.008264)
(66	129	36	0.008264)
(66	129	46	-0.016529)
(66	129	56	0.008264)
(77	132	37	0.008264)
(77	132	47	-0.016529)
(77	132	57	0.008264)
(88	135	38	0.008264)
(88	135	48	-0.016529)
(88	135	58	0.008264)
(99	138	39	0.008264)
(99	138	49	-0.016529)
(99	138	59	0.008264)
(0	141	40	0.008264)
(0	141	50	-0.016529)
(0	141	60	0.008264)
(14	144	41	0.008264)
(14	144	51	-0.016529)
(14	144	61	0.008264)
(28	147	42	0.008264)
(28	147	52	-0.016529)
(28	147	62	0.008264)
(42	150	43	0.008264)
(42	150	53	-0.016529)
(42	150	63	0.008264)
(56	153	44	0.008264)
(56	153	54	-0.016529)
(56	153	64	0.008264)
(70	156	45	0.008264)
(70	156	55	-0.016529)
(70	156	65	0.008264)
(84	159	46	0.008264)
(84	159	56	-0.016529)
(84	159	66	0.008264)
(98	162	47	0.008264)
(98	162	57	-0.016529)
(98	162	67	0.008264)
(112	165	48	0.008264)
(112	165	58	-0.016529)
(112	165	68	0.008264)
(126	168	49	0.008264)
(126	168	59	-0.016529)
(126	168	69	0.008264)
(0	171	50	0.008264)
(0	171	60	-0.016529)
(0	171	70	0.008264)
(17	174	51	0.008264)
(17	174	61	-0.016529)
(17	174	71	0.008264)
(34	177	52	0.008264)
(34	177	62	-0.016529)
(34	177	72	0.008264)
(51	180	53	0.008264)
(51	180	63	-0.016529)
(51	180	73	0.008264)
(68	183	54	0.008264)
(68	183	64	-0.016529)
(68	183	74	0.008264)
(85	186	55	0.008264)
(85	186	65	-0.016529)
(85	186	75	0.008264)
(102	189	56	0.008264)
(102	189	66	-0.016529)
(102	189	76	0.008264)
(119	192	57	0.008264)
(119	192	67	-0.016529)
(119	192	77	0.008264)
(136	195	58	0.008264)
(136	195	68	-0.016529)
(136	195	78	0.008264)
(153	198	59	0.008264)
(153	198	69	-0.016529)
(153	198	79	0.008264)
(0	201	60	0.008264)
(0	201	70	-0.016529)
(0	201	80	0.008264)
(20	204	61	0.008264)
(20	204	71	-0.016529)
(20	204	81	0.008264)
(40	207	62	0.008264)
(40	207	72	-0.016529)
(40	207	82	0.008264)
(60	210	63	0.008264)
(60	210	73	-0.016529)
(60	210	83	0.008264)
(80	213	64	0.008264)
(80	213	74	-0.016529)
(80	213	84	0.008264)
(100	216	65	0.008264)
(100	216	75	-0.016529)
(100	216	85	0.008264)
(120	219	66	0.008264)
(120	219	76	-0.016529)
(120	219	86	0.008264)
(140	222	67	0.008264)
(140	222	77	-0.016529)
(140	222	87	0.008264)
(160	225	68	0.008264)
(160	225	78	-0.016529)
(160	225	88	0.008264)
(180	228	69	0.008264)
(180	228	79	-0.016529)
(180	228	89	0.008264)
(0	231	70	0.008264)
(0	231	80	-0.016529)
(0	231	90	0.008264)
(23	234	71	0.008264)
(23	234	81	-0.016529)
(23	234	91	0.008264)
(46	237	72	0.008264)
(46	237	82	-0.016529)
(46	237	92	0.008264)
(69	240	73	0.008264)
(69	240	83	-0.016529)
(69	240	93	0.008264)
(92	243	74	0.008264)
(92	243	84	-0.016529)
(92	243	94	0.008264)
(115	246	75	0.008264)
(115	246	85	-0.016529)
(115	246	95	0.008264)
(138	249	76	0.008264)
(138	249	86	-0.016529)
(138	249	96	0.008264)
(161	252	77	0.008264)
(161	252	87	-0.016529)
(161	252	97	0.008264)
(184	255	78	0.008264)
(184	255	88	-0.016529)
(184	255	98	0.008264)
(207	258	79	0.008264)
(207	258	89	-0.016529)
(207	258	99	0.008264)
(0	260	80	0.008264)
(0	260	90	-0.016529)
(26	262	81	0.008264)
(26	262	91	-0.016529)
(52	264	82	0.008264)
(52	264	92	-0.016529)
(78	266	83	0.008264)
(78	266	93	-0.016529)
(104	268	84	0.008264)
(104	268	94	-0.016529)
(130	270	85	0.008264)
(130	270	95	-0.016529)
(156	272	86	0.008264)
(156	272	96	-0.016529)
(182	274	87	0.008264)
(182	274	97	-0.016529)
(208	276	88	0.008264)
(208	276	98	-0.016529)
(234	278	89	0.008264)
(234	278	99	-0.016529)
Row:	Col:	Val:
(0	0	-0.016529)
(0	10	0.008264)
(2	1	-0.016529)
(2	11	0.008264)
(4	2	-0.016529)
(4	12	0.008264)
(6	3	-0.016529)
(6	13	0.008264)
(8	4	-0.016529)
(8	14	0.008264)
(10	5	-0.016529)
(10	15	0.008264)
(12	6	-0.016529)
(12	16	0.008264)
(14	7	-0.016529)
(14	17	0.008264)
(16	8	-0.016529)
(16	18	0.008264)
(18	9	-0.016529)
(18	19	0.008264)
(18	0	0.000000)
(21	0	0.008264)
(21	10	-0.016529)
(21	20	0.008264)
(24	1	0.008264)
(24	11	-0.016529)
(24	21	0.008264)
(27	2	0.008264)
(27	12	-0.016529)
(27	22	0.008264)
(30	3	0.008264)
(30	13	-0.016529)
(30	0	0.000000)
(33	2	0.000000)
(33	4	0.000000)
(33	6	0.000000)
(36	8	0.000000)
(36	10	0.000000)
(36	12	0.000000)
(39	14	0.000000)
(39	16	0.000000)
(39	18	0.000000)
(42	21	0.000000)
(42	24	0.000000)
(42	27	0.000000)
(45	30	0.000000)
(45	33	0.000000)
(45	36	0.000000)
(48	39	0.000000)
(48	42	0.000000)
(48	45	0.000000)
(51	48	0.000000)
(51	51	0.000000)
(51	54	0.000000)
(54	57	0.000000)
(54	60	0.000000)
(54	63	0.000000)
(57	66	0.000000)
(57	69	0.000000)
(57	72	0.000000)
(60	75	0.000000)
(60	78	0.000000)
(60	81	0.000000)
(63	84	0.000000)
(63	87	0.000000)
(63	90	0.000000)
(66	93	0.000000)
(66	96	0.000000)
(66	99	0.000000)
(69	102	0.000000)
(69	105	0.000000)
(69	108	0.000000)
(72	111	0.000000)
(72	114	0.000000)
(72	117	0.000000)
(75	120	0.000000)
(75	123	0.000000)
(75	126	0.000000)
(78	129	0.000000)
(78	132	0.000000)
(78	135	0.000000)
(81	138	0.000000)
(81	141	0.000000)
(81	144	0.000000)
(84	147	0.000000)
(84	150	0.000000)
(84	153	0.000000)
(87	156	0.000000)
(87	159	0.000000)
(87	162	0.000000)
(90	165	0.000000)
(90	168	0.000000)
(90	171	0.000000)
(93	174	0.000000)
(93	177	0.000000)
(93	180	0.000000)
(96	183	0.000000)
(96	186	0.000000)
(96	189	0.000000)
(99	192	0.000000)
(99	195	0.000000)
(99	198	0.000000)
(102	201	0.000000)
(102	204	0.000000)
(102	207	0.000000)
(105	210	0.000000)
(105	213	0.000000)
(105	216	0.000000)
(108	219	0.000000)
(108	222	0.000000)
(108	225	0.000000)
(111	228	0.000000)
(111	231	0.000000)
(111	234	0.000000)
(114	237	0.000000)
(114	240	0.000000)
(114	243	0.000000)
(117	246	0.000000)
(117	249	0.000000)
(117	252	0.000000)
(120	255	0.000000)
(120	258	0.000000)
(120	260	0.000000)
(123	262	0.000000)
(123	264	0.000000)
(123	266	0.000000)
(126	268	0.000000)
(126	270	0.000000)
(126	272	0.000000)
(129	274	0.000000)
(129	276	0.000000)
(129	278	0.000000)
(132	280	0.000000)
(132	47	0.000000)
(132	57	0.000000)
(135	38	0.000000)
(135	48	0.000000)
(135	58	0.000000)
(138	39	0.000000)
(138	49	0.000000)
(138	59	0.000000)
(141	40	0.000000)
(141	50	0.000000)
(141	60	0.000000)
(144	41	0.000000)
(144	51	0.000000)
(144	61	0.000000)
(147	42	0.000000)
(147	52	0.000000)
(147	62	0.000000)
(150	43	0.000000)
(150	53	0.000000)
(150	63	0.000000)
(153	44	0.000000)
(153	54	0.000000)
(153	64	0.000000)
(156	45	0.000000)
(156	55	0.000000)
(156	65	0.000000)
(159	46	0.000000)
(159	56	0.000000)
(159	66	0.000000)
(162	47	0.000000)
(162	57	0.000000)
(162	67	0.000000)
(165	48	0.000000)
(165	58	0.000000)
(165	68	0.000000)
(168	49	0.000000)
(168	59	0.000000)
(168	69	0.000000)
(171	50	0.000000)
(171	60	0.000000)
(171	70	0.000000)
(174	51	0.000000)
(174	61	0.000000)
(174	71	0.000000)
(177	52	0.000000)
(177	62	0.000000)
(177	72	0.000000)
(180	53	0.000000)
(180	63	0.000000)
(180	73	0.008264)
(183	54	0.008264)
(183	64	-0.016529)
(183	74	0.008264)
(186	55	0.008264)
(186	65	-0.016529)
(186	75	0.008264)
(189	56	0.008264)
(189	66	-0.016529)
(189	76	0.008264)
(192	57	0.008264)
(192	67	-0.016529)
(192	77	0.008264)
(195	58	0.008264)
(195	68	-0.016529)
(195	78	0.008264)
(198	59	0.008264)
(198	69	-0.016529)
(198	79	0.008264)
(201	60	0.008264)
(201	70	-0.016529)
(201	80	0.008264)
(204	61	0.008264)
(204	71	-0.016529)
(204	81	0.008264)
(207	62	0.008264)
(207	72	-0.016529)
(207	82	0.008264)
(210	63	0.008264)
(210	73	-0.016529)
(210	83	0.008264)
(213	64	0.008264)
(213	74	-0.016529)
(213	84	0.008264)
(216	65	0.008264)
(216	75	-0.016529)
(216	85	0.008264)
(219	66	0.008264)
(219	76	-0.016529)
(219	86	0.008264)
(222	67	0.008264)
(222	77	-0.016529)
(222	87	0.008264)
(225	68	0.008264)
(225	78	-0.016529)
(225	88	0.008264)
(228	69	0.008264)
(228	79	-0.016529)
(228	89	0.008264)
(231	70	0.008264)
(231	80	-0.016529)
(231	90	0.008264)
(234	71	0.008264)
(234	81	-0.016529)
(234	91	0.008264)
(237	72	0.008264)
(237	82	-0.016529)
(237	92	0.008264)
(240	73	0.008264)
(240	83	-0.016529)
(240	93	0.008264)
(243	74	0.008264)
(243	84	-0.016529)
(243	94	0.008264)
(246	75	0.008264)
(246	85	-0.016529)
(246	95	0.008264)
(249	76	0.008264)
(249	86	-0.016529)
(249	96	0.008264)
(252	77	0.008264)
(252	87	-0.016529)
(252	97	0.008264)
(255	78	0.008264)
(255	88	-0.016529)
(255	98	0.008264)
(258	79	0.008264)
(258	89	-0.016529)
(260	80	0.008264)
(260	90	-0.016529)
(262	81	0.008264)
(262	91	-0.016529)
(264	82	0.008264)
(264	92	-0.016529)
(266	83	0.008264)
(266	93	-0.016529)
(268	84	0.008264)
(268	94	-0.016529)
(270	85	0.008264)
(270	95	-0.016529)
(272	86	0.008264)
(272	96	-0.016529)
(274	87	0.008264)
(274	97	-0.016529)
(276	88	0.008264)
(276	98	-0.016529)
(278	89	0.008264)
(278	99	-0.016529)
*** Error in `./main': double free or corruption (!prev): 0x00000000021c8ff0 ***
/var/spool/slurmd/job8495076/slurm_script: line 12: 15868 Segmentation fault      (core dumped) ./main
