(0	0	-0.016529)
(0	10	0.008264)
(1	1	-0.016529)
(1	11	0.008264)
(2	2	-0.016529)
(2	12	0.008264)
(3	3	-0.016529)
(3	13	0.008264)
(4	4	-0.016529)
(4	14	0.008264)
(5	5	-0.016529)
(5	15	0.008264)
(6	6	-0.016529)
(6	16	0.008264)
(7	7	-0.016529)
(7	17	0.008264)
(8	8	-0.016529)
(8	18	0.008264)
(9	9	-0.016529)
(9	19	0.008264)
(11	0	0.008264)
(11	10	-0.016529)
(11	20	0.008264)
(13	1	0.008264)
(13	11	-0.016529)
(13	21	0.008264)
(15	2	0.008264)
(15	12	-0.016529)
(15	22	0.008264)
(17	3	0.008264)
(17	13	-0.016529)
(17	23	0.008264)
(19	4	0.008264)
(19	14	-0.016529)
(19	24	0.008264)
(21	5	0.008264)
(21	15	-0.016529)
(21	25	0.008264)
(23	6	0.008264)
(23	16	-0.016529)
(23	26	0.008264)
(25	7	0.008264)
(25	17	-0.016529)
(25	27	0.008264)
(27	8	0.008264)
(27	18	-0.016529)
(27	28	0.008264)
(29	9	0.008264)
(29	19	-0.016529)
(29	29	0.008264)
(31	10	0.008264)
(31	20	-0.016529)
(31	30	0.008264)
(33	11	0.008264)
(33	21	-0.016529)
(33	31	0.008264)
(35	12	0.008264)
(35	22	-0.016529)
(35	32	0.008264)
(37	13	0.008264)
(37	23	-0.016529)
(37	33	0.008264)
(39	14	0.008264)
(39	24	-0.016529)
(39	34	0.008264)
(41	15	0.008264)
(41	25	-0.016529)
(41	35	0.008264)
(43	16	0.008264)
(43	26	-0.016529)
(43	36	0.008264)
(45	17	0.008264)
(45	27	-0.016529)
(45	37	0.008264)
(47	18	0.008264)
(47	28	-0.016529)
(47	38	0.008264)
(49	19	0.008264)
(49	29	-0.016529)
(49	39	0.008264)
(51	20	0.008264)
(51	30	-0.016529)
(51	40	0.008264)
(53	21	0.008264)
(53	31	-0.016529)
(53	41	0.008264)
(55	22	0.008264)
(55	32	-0.016529)
(55	42	0.008264)
(57	23	0.008264)
(57	33	-0.016529)
(57	43	0.008264)
(59	24	0.008264)
(59	34	-0.016529)
(59	44	0.008264)
(61	25	0.008264)
(61	35	-0.016529)
(61	45	0.008264)
(63	26	0.008264)
(63	36	-0.016529)
(63	46	0.008264)
(65	27	0.008264)
(65	37	-0.016529)
(65	47	0.008264)
(67	28	0.008264)
(67	38	-0.016529)
(67	48	0.008264)
(69	29	0.008264)
(69	39	-0.016529)
(69	49	0.008264)
(71	30	0.008264)
(71	40	-0.016529)
(71	50	0.008264)
(73	31	0.008264)
(73	41	-0.016529)
(73	51	0.008264)
(75	32	0.008264)
(75	42	-0.016529)
(75	52	0.008264)
(77	33	0.008264)
(77	43	-0.016529)
(77	53	0.008264)
(79	34	0.008264)
(79	44	-0.016529)
(79	54	0.008264)
(81	35	0.008264)
(81	45	-0.016529)
(81	55	0.008264)
(83	36	0.008264)
(83	46	-0.016529)
(83	56	0.008264)
(85	37	0.008264)
(85	47	-0.016529)
(85	57	0.008264)
(87	38	0.008264)
(87	48	-0.016529)
(87	58	0.008264)
(89	39	0.008264)
(89	49	-0.016529)
(89	59	0.008264)
(91	40	0.008264)
(91	50	-0.016529)
(91	60	0.008264)
(93	41	0.008264)
(93	51	-0.016529)
(93	61	0.008264)
(95	42	0.008264)
(95	52	-0.016529)
(95	62	0.008264)
(97	43	0.008264)
(97	53	-0.016529)
(97	63	0.008264)
(99	44	0.008264)
(99	54	-0.016529)
(99	64	0.008264)
(101	45	0.008264)
(101	55	-0.016529)
(101	65	0.008264)
(103	46	0.008264)
(103	56	-0.016529)
(103	66	0.008264)
(105	47	0.008264)
(105	57	-0.016529)
(105	67	0.008264)
(107	48	0.008264)
(107	58	-0.016529)
(107	68	0.008264)
(109	49	0.008264)
(109	59	-0.016529)
(109	69	0.008264)
(111	50	0.008264)
(111	60	-0.016529)
(111	70	0.008264)
(113	51	0.008264)
(113	61	-0.016529)
(113	71	0.008264)
(115	52	0.008264)
(115	62	-0.016529)
(115	72	0.008264)
(117	53	0.008264)
(117	63	-0.016529)
(117	73	0.008264)
(119	54	0.008264)
(119	64	-0.016529)
(119	74	0.008264)
(121	55	0.008264)
(121	65	-0.016529)
(121	75	0.008264)
(123	56	0.008264)
(123	66	-0.016529)
(123	76	0.008264)
(125	57	0.008264)
(125	67	-0.016529)
(125	77	0.008264)
(127	58	0.008264)
(127	68	-0.016529)
(127	78	0.008264)
(129	59	0.008264)
(129	69	-0.016529)
(129	79	0.008264)
(131	60	0.008264)
(131	70	-0.016529)
(131	80	0.008264)
(133	61	0.008264)
(133	71	-0.016529)
(133	81	0.008264)
(135	62	0.008264)
(135	72	-0.016529)
(135	82	0.008264)
(137	63	0.008264)
(137	73	-0.016529)
(137	83	0.008264)
(139	64	0.008264)
(139	74	-0.016529)
(139	84	0.008264)
(141	65	0.008264)
(141	75	-0.016529)
(141	85	0.008264)
(143	66	0.008264)
(143	76	-0.016529)
(143	86	0.008264)
(145	67	0.008264)
(145	77	-0.016529)
(145	87	0.008264)
(147	68	0.008264)
(147	78	-0.016529)
(147	88	0.008264)
(149	69	0.008264)
(149	79	-0.016529)
(149	89	0.008264)
(151	70	0.008264)
(151	80	-0.016529)
(151	90	0.008264)
(153	71	0.008264)
(153	81	-0.016529)
(153	91	0.008264)
(155	72	0.008264)
(155	82	-0.016529)
(155	92	0.008264)
(157	73	0.008264)
(157	83	-0.016529)
(157	93	0.008264)
(159	74	0.008264)
(159	84	-0.016529)
(159	94	0.008264)
(161	75	0.008264)
(161	85	-0.016529)
(161	95	0.008264)
(163	76	0.008264)
(163	86	-0.016529)
(163	96	0.008264)
(165	77	0.008264)
(165	87	-0.016529)
