(0	0	-0.016529)
(0	10	0.008264)
(2	1	-0.016529)
(2	11	0.008264)
(4	2	-0.016529)
(4	12	0.008264)
(6	3	-0.016529)
(6	13	0.008264)
(8	4	-0.016529)
(8	14	0.008264)
(10	5	-0.016529)
(10	15	0.008264)
(12	6	-0.016529)
(12	16	0.008264)
(14	7	-0.016529)
(14	17	0.008264)
(16	8	-0.016529)
(16	18	0.008264)
(18	9	-0.016529)
(18	19	0.008264)
(21	0	0.008264)
(21	10	-0.016529)
(21	20	0.008264)
(24	1	0.008264)
(24	11	-0.016529)
(24	21	0.008264)
(27	2	0.008264)
(27	12	-0.016529)
(27	22	0.008264)
(30	3	0.008264)
(30	13	-0.016529)
(30	23	0.008264)
(33	4	0.008264)
(33	14	-0.016529)
(33	24	0.008264)
(36	5	0.008264)
(36	15	-0.016529)
(36	25	0.008264)
(39	6	0.008264)
(39	16	-0.016529)
(39	26	0.008264)
(42	7	0.008264)
(42	17	-0.016529)
(42	27	0.008264)
(45	8	0.008264)
(45	18	-0.016529)
(45	28	0.008264)
(48	9	0.008264)
(48	19	-0.016529)
(48	29	0.008264)
(51	10	0.008264)
(51	20	-0.016529)
(51	30	0.008264)
(54	11	0.008264)
(54	21	-0.016529)
(54	31	0.008264)
(57	12	0.008264)
(57	22	-0.016529)
(57	32	0.008264)
(60	13	0.008264)
(60	23	-0.016529)
(60	33	0.008264)
(63	14	0.008264)
(63	24	-0.016529)
(63	34	0.008264)
(66	15	0.008264)
(66	25	-0.016529)
(66	35	0.008264)
(69	16	0.008264)
(69	26	-0.016529)
(69	36	0.008264)
(72	17	0.008264)
(72	27	-0.016529)
(72	37	0.008264)
(75	18	0.008264)
(75	28	-0.016529)
(75	38	0.008264)
(78	19	0.008264)
(78	29	-0.016529)
(78	39	0.008264)
(81	20	0.008264)
(81	30	-0.016529)
(81	40	0.008264)
(84	21	0.008264)
(84	31	-0.016529)
(84	41	0.008264)
(87	22	0.008264)
(87	32	-0.016529)
(87	42	0.008264)
(90	23	0.008264)
(90	33	-0.016529)
(90	43	0.008264)
(93	24	0.008264)
(93	34	-0.016529)
(93	44	0.008264)
(96	25	0.008264)
(96	35	-0.016529)
(96	45	0.008264)
(99	26	0.008264)
(99	36	-0.016529)
(99	46	0.008264)
(102	27	0.008264)
(102	37	-0.016529)
(102	47	0.008264)
(105	28	0.008264)
(105	38	-0.016529)
(105	48	0.008264)
(108	29	0.008264)
(108	39	-0.016529)
(108	49	0.008264)
(111	30	0.008264)
(111	40	-0.016529)
(111	50	0.008264)
(114	31	0.008264)
(114	41	-0.016529)
(114	51	0.008264)
(117	32	0.008264)
(117	42	-0.016529)
(117	52	0.008264)
(120	33	0.008264)
(120	43	-0.016529)
(120	53	0.008264)
(123	34	0.008264)
(123	44	-0.016529)
(123	54	0.008264)
(126	35	0.008264)
(126	45	-0.016529)
(126	55	0.008264)
(129	36	0.008264)
(129	46	-0.016529)
(129	56	0.008264)
(132	37	0.008264)
(132	47	-0.016529)
(132	57	0.008264)
(135	38	0.008264)
(135	48	-0.016529)
(135	58	0.008264)
(138	39	0.008264)
(138	49	-0.016529)
(138	59	0.008264)
(141	40	0.008264)
(141	50	-0.016529)
(141	60	0.008264)
(144	41	0.008264)
(144	51	-0.016529)
(144	61	0.008264)
(147	42	0.008264)
(147	52	-0.016529)
(147	62	0.008264)
(150	43	0.008264)
(150	53	-0.016529)
(150	63	0.008264)
(153	44	0.008264)
(153	54	-0.016529)
(153	64	0.008264)
(156	45	0.008264)
(156	55	-0.016529)
(156	65	0.008264)
(159	46	0.008264)
(159	56	-0.016529)
(159	66	0.008264)
(162	47	0.008264)
(162	57	-0.016529)
(162	67	0.008264)
(165	48	0.008264)
(165	58	-0.016529)
(165	68	0.008264)
(168	49	0.008264)
(168	59	-0.016529)
(168	69	0.008264)
(171	50	0.008264)
(171	60	-0.016529)
(171	70	0.008264)
(174	51	0.008264)
(174	61	-0.016529)
(174	71	0.008264)
(177	52	0.008264)
(177	62	-0.016529)
(177	72	0.008264)
(180	53	0.008264)
(180	63	-0.016529)
(180	73	0.008264)
(183	54	0.008264)
(183	64	-0.016529)
(183	74	0.008264)
(186	55	0.008264)
(186	65	-0.016529)
(186	75	0.008264)
(189	56	0.008264)
(189	66	-0.016529)
(189	76	0.008264)
(192	57	0.008264)
(192	67	-0.016529)
(192	77	0.008264)
(195	58	0.008264)
(195	68	-0.016529)
(195	78	0.008264)
(198	59	0.008264)
(198	69	-0.016529)
(198	79	0.008264)
(201	60	0.008264)
(201	70	-0.016529)
(201	80	0.008264)
(204	61	0.008264)
(204	71	-0.016529)
(204	81	0.008264)
(207	62	0.008264)
(207	72	-0.016529)
(207	82	0.008264)
(210	63	0.008264)
(210	73	-0.016529)
(210	83	0.008264)
(213	64	0.008264)
(213	74	-0.016529)
(213	84	0.008264)
(216	65	0.008264)
(216	75	-0.016529)
(216	85	0.008264)
(219	66	0.008264)
(219	76	-0.016529)
(219	86	0.008264)
(222	67	0.008264)
(222	77	-0.016529)
(222	87	0.008264)
(225	68	0.008264)
(225	78	-0.016529)
(225	88	0.008264)
(228	69	0.008264)
(228	79	-0.016529)
(228	89	0.008264)
(231	70	0.008264)
(231	80	-0.016529)
(231	90	0.008264)
(234	71	0.008264)
(234	81	-0.016529)
(234	91	0.008264)
(237	72	0.008264)
(237	82	-0.016529)
(237	92	0.008264)
(240	73	0.008264)
(240	83	-0.016529)
(240	93	0.008264)
(243	74	0.008264)
(243	84	-0.016529)
(243	94	0.008264)
(246	75	0.008264)
(246	85	-0.016529)
(246	95	0.008264)
(249	76	0.008264)
(249	86	-0.016529)
(249	96	0.008264)
(252	77	0.008264)
(252	87	-0.016529)
