Row:	Col:	Val:
(0	0	-0.016529)
(0	1	0.008264)
(2	0	0.008264)
(2	1	-0.016529)
(2	2	0.008264)
(5	1	0.008264)
(5	2	-0.016529)
(5	3	0.008264)
(8	2	0.008264)
(8	3	-0.016529)
(8	4	0.008264)
(11	3	0.008264)
(11	4	-0.016529)
(11	5	0.008264)
(14	4	0.008264)
(14	5	-0.016529)
(14	6	0.008264)
(17	5	0.008264)
(17	6	-0.016529)
(17	7	0.008264)
(20	6	0.008264)
(20	7	-0.016529)
(20	8	0.008264)
(23	7	0.008264)
(23	8	-0.016529)
(23	9	0.008264)
(26	8	0.008264)
(26	9	-0.016529)
