10,5599,0.00095602,1.4e-07,0.00141246,0.0588959,0.0152188
11,7495,0.000889656,1.02e-07,0.00132693,0.0838297,0.0149478
12,9785,0.00101252,8.8e-08,0.00133726,0.108481,0.0150529
13,12498,0.00122037,8e-08,0.00131804,0.140457,0.0148809
14,15674,0.00148786,7.9e-08,0.00134136,0.172953,0.01517
15,19342,0.00170402,6.6e-08,0.00132224,0.216378,0.015531
16,23541,0.00195196,7.3e-08,0.00138974,0.250426,0.0162686
17,28308,0.0023298,6.8e-08,0.00146169,0.286178,0.0172332
18,33677,0.00277267,6.2e-08,0.00154591,0.321775,0.0183151
19,39686,0.00312872,6.5e-08,0.00165263,0.354572,0.0195747
20,46369,0.00352406,6.3e-08,0.00171885,0.39819,0.0225746
22,61910,0.00473828,5.9e-08,0.00187643,0.486715,0.0259374
24,80581,0.00582792,6.2e-08,0.00205872,0.577133,0.0283386
26,102684,0.00753136,6e-08,0.00221428,0.683483,0.0307709
28,128505,0.00914798,6.3e-08,0.00246054,0.769464,0.0337902
30,158346,0.00781302,6.7e-08,0.00259543,0.898562,0.0347207
33,211205,0.0100193,7.1e-08,0.00284739,1.09203,0.0419093
36,274704,0.0126445,1.66e-07,0.00313787,1.28844,0.0535966
39,349763,0.0157372,1.69e-07,0.00330211,1.55847,0.0653758
42,437459,0.0188055,1.41e-07,0.00288227,2.23259,0.0714334
46,575545,0.0240346,7.7e-08,0.00299745,2.82371,0.0969219
50,739983,0.0306093,8.1e-08,0.00326635,3.33087,0.124039
55,986232,0.0411095,1.68e-07,0.00463324,3.12887,0.17036
60,1281599,0.0534617,7.1e-08,0.00390384,4.82479,0.232078
66,1707551,0.0730491,7.9e-08,0.00434891,5.76939,0.325833
72,2218751,0.096196,6.9e-08,0.00471487,6.91365,0.463624
79,2933269,0.129757,8.2e-08,0.00525983,8.19187,0.660006
86,3786751,0.168774,7.2e-08,0.00562948,9.87977,0.909352
94,4948159,0.226252,7.9e-08,0.00623675,11.6515,1.28116
103,6513925,0.294682,7.4e-08,0.00684214,13.9797,1.82303
113,8606305,0.392033,9.3e-08,0.00799683,15.8015,2.6233
124,11378239,0.52142,8.1e-08,0.00833611,20.0387,3.77628
136,0,0.0110952,7e-08,0.000539381,74.6176,0.043618
149,0,0.0115862,7.9e-08,0.000613453,86.2775,0.0472814
163,0,0.0138324,7.5e-08,0.000686229,100.975,0.0516778
179,0,0.0157574,7.1e-08,0.000734534,124.93,0.0570766
196,0,0.0168054,7.7e-08,0.000787585,152.965,0.0618975
215,0,0.0199323,7.9e-08,0.000859168,185.079,0.0676951
236,0,0.0219699,8.1e-08,0.000933161,225.372,0.0742643
