63,1484405,0.0630622, 8.761e-06,9.691e-06,0.00417059,0.00791597,0.0144845,217.0490.271787
64,1556479,0.0656846, 9.051e-06,9.926e-06,0.00429512,0.00815169,0.0145653,221.1980.284048
65,1630849,0.069622, 8.596e-06,9.627e-06,0.00439354,0.00826757,0.0149542,216.2980.309086
66,1707551,0.0732998, 9.212e-06,9.671e-06,0.00439516,0.00821709,0.0151636,215.5570.329699
67,1786621,0.0762756, 8.854e-06,9.861e-06,0.00449111,0.00846137,0.0151267,214.1140.35252
68,1868095,0.079437, 8.676e-06,9.94e-06,0.00443147,0.00843219,0.0154679,213.4130.375291
69,1952009,0.083428, 8.761e-06,9.64e-06,0.00453945,0.0086407,0.0155303,214.4120.396027
70,2038399,0.0876779, 8.428e-06,9.907e-06,0.00477132,0.00922956,0.0161794,212.2970.423691
71,2127297,0.0912108, 9.301e-06,9.892e-06,0.00468148,0.00890671,0.0164925,214.5310.443779
72,2218751,0.0945791, 8.437e-06,9.87e-06,0.00480666,0.00916165,0.0166317,215.0910.468114
73,2312753,0.099454, 8.696e-06,9.848e-06,0.00472939,0.00899114,0.0164517,214.5780.495873
74,2409439,0.103976, 8.63e-06,9.925e-06,0.00494373,0.00930271,0.0168328,216.1340.519865
75,2508749,0.108021, 8.607e-06,9.965e-06,0.00500459,0.00942814,0.0172901,216.1040.548643
76,2610751,0.111763, 8.82e-06,9.671e-06,0.00515117,0.00963536,0.0176418,218.4850.572214
77,2715481,0.117095, 8.523e-06,9.85e-06,0.00515209,0.00974839,0.0178402,216.8040.607633
78,2822975,0.122533, 8.828e-06,9.808e-06,0.00527407,0.00984937,0.0180827,218.3440.635332
79,2933269,0.126207, 8.794e-06,1.0037e-05,0.00530158,0.00992055,0.0181159,219.7060.664429
80,3046399,0.130827, 8.882e-06,9.93e-06,0.00531286,0.00994892,0.0185456,219.8570.698262
81,3162401,0.136333, 8.775e-06,9.896e-06,0.00531081,0.00998417,0.018655,221.1080.729714
82,3281311,0.142316, 8.726e-06,1.0346e-05,0.00544877,0.0105242,0.0195886,221.4370.765314
83,3403165,0.146889, 8.592e-06,9.895e-06,0.00547243,0.0103931,0.0191468,218.2660.815033
