Hello world
Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

Element calculation test with N = 58000 Time: 0.000386136Melement/s: 150 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 59000 Time: 0.00038924Melement/s: 151 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 60000 Time: 0.000384908Melement/s: 155 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 61000 Time: 0.000391492Melement/s: 155 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 62000 Time: 0.000397511Melement/s: 155 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 63000 Time: 0.000397538Melement/s: 158 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 64000 Time: 0.000406038Melement/s: 157 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 65000 Time: 0.000423914Melement/s: 153 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 66000 Time: 0.00042682Melement/s: 154 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 67000 Time: 0.000439836Melement/s: 152 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 68000 Time: 0.000425222Melement/s: 159 GFLOPS/s: 10 GB/s: 31
Element calculation test with N = 69000 Time: 0.000428807Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 70000 Time: 0.000430085Melement/s: 162 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 71000 Time: 0.000443313Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 72000 Time: 0.000457489Melement/s: 157 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 73000 Time: 0.00047306Melement/s: 154 GFLOPS/s: 9 GB/s: 30
Element calculation test with N = 74000 Time: 0.000469698Melement/s: 157 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 75000 Time: 0.000466718Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 76000 Time: 0.00220878Melement/s: 34 GFLOPS/s: 2 GB/s: 6
Element calculation test with N = 77000 Time: 0.00222973Melement/s: 34 GFLOPS/s: 2 GB/s: 6
Element calculation test with N = 78000 Time: 0.00221308Melement/s: 35 GFLOPS/s: 2 GB/s: 7
Element calculation test with N = 79000 Time: 0.00221402Melement/s: 35 GFLOPS/s: 2 GB/s: 7
Element calculation test with N = 80000 Time: 0.000514341Melement/s: 155 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 81000 Time: 0.000501069Melement/s: 161 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 82000 Time: 0.000499837Melement/s: 164 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 83000 Time: 0.000513376Melement/s: 161 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 84000 Time: 0.000521618Melement/s: 161 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 85000 Time: 0.000518899Melement/s: 163 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 86000 Time: 0.000536706Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 87000 Time: 0.000549145Melement/s: 158 GFLOPS/s: 9 GB/s: 31
Element calculation test with N = 88000 Time: 0.00053931Melement/s: 163 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 89000 Time: 0.000557737Melement/s: 159 GFLOPS/s: 10 GB/s: 31
Element calculation test with N = 90000 Time: 0.00056654Melement/s: 158 GFLOPS/s: 10 GB/s: 31
Element calculation test with N = 91000 Time: 0.000569048Melement/s: 159 GFLOPS/s: 10 GB/s: 31
Element calculation test with N = 92000 Time: 0.000562127Melement/s: 163 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 93000 Time: 0.000576535Melement/s: 161 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 94000 Time: 0.00058254Melement/s: 161 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 95000 Time: 0.000593688Melement/s: 160 GFLOPS/s: 10 GB/s: 32
Element calculation test with N = 96000 Time: 0.00228514Melement/s: 42 GFLOPS/s: 2 GB/s: 8
Element calculation test with N = 97000 Time: 0.00231088Melement/s: 41 GFLOPS/s: 2 GB/s: 8
Element calculation test with N = 98000 Time: 0.00230999Melement/s: 42 GFLOPS/s: 2 GB/s: 8
Element calculation test with N = 99000 Time: 0.00229833Melement/s: 43 GFLOPS/s: 2 GB/s: 8
