Hello world
Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

Element calculation test with N = 0 Time: 6.6311e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.286e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2086e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2695e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2177e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2555e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0918e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.201e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.3199e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.3276e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.273e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2613e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.4038e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2787e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2778e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1418e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1204e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2396e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1836e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.252e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2683e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.221e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 2.3509e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.3184e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2549e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0858e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2517e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1509e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.15e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0859e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1603e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
